Catalogue_id,de,fr,it,en
subcat_1,Wasserkraft,Énergie hydraulique,Forza idrica,Hydroelectric power
subcat_2,Photovoltaik,Photovoltaïque ,Energia fotovoltaica ,Photovoltaic
subcat_3,Windenergie,Énergie éolienne,Energia eolica,Wind energy
subcat_4,Biomasse ,Biomasse,Biomassa ,Biomass 
subcat_5,Geothermie,Géothermie,Geotermia,Geothermal energy
subcat_6,Kernenergie,Énergie nucléaire,Energia nucleare,Nuclear energy
subcat_7,Erdöl,Pétrole,Petrolio,Crude oil
subcat_8,Erdgas,Gaz naturel,Gas naturale,Natural gas
subcat_9,Kohle,Charbon,Carbone,Coal 
subcat_10,Abfälle ,Déchets ,Rifiuti ,Waste 
